Player,Year,PPG,APG,RPG,SPG,BPG,FG%,eFG%,2P%,3P%,FT%
Ken Murray,1951,12.878787878787879,3.0606060606060606,5.378787878787879,,,0.339,0.339,0.339,,0.747
Tommy O'Keefe,1951,3.8333333333333335,1.6666666666666667,1.1666666666666667,,,0.357,0.357,0.357,,0.75
Kevin O'Shea,1951,4.301587301587301,1.5873015873015872,1.9841269841269842,,,0.326,0.326,0.326,,0.724
Don Rehfeldt,1951,7.305084745762712,1.152542372881356,4.254237288135593,,,0.385,0.385,0.385,,0.741
Jim Riffey,1951,4.285714285714286,0.45714285714285713,1.7428571428571429,,,0.351,0.351,0.351,,0.769
Alan Sawyer,1951,6.575757575757576,0.7575757575757576,3.6666666666666665,,,0.37,0.37,0.37,,0.86
Herb Scherer,1951,3.4,0.85,2.5,,,0.286,0.286,0.286,,0.571
Dick Schnittker,1951,10.172413793103448,1.4137931034482758,5.275862068965517,,,0.411,0.411,0.411,,0.866
Bill Sharman*,1951,12.193548387096774,1.2580645161290323,3.5483870967741935,,,0.37,0.37,0.37,,0.889
Don Barksdale*,1952,12.596774193548388,2.2096774193548385,9.693548387096774,,,0.338,0.338,0.338,,0.691
Elmer Behnke,1952,4.0,1.0,4.25,,,0.273,0.273,0.273,,0.571
Stan Brown,1952,3.6,0.6,1.1333333333333333,,,0.349,0.349,0.349,,0.556
Ed Dahler,1952,2.5,0.35714285714285715,1.5714285714285714,,,0.368,0.368,0.368,,1.0
Nate DeLong,1952,3.764705882352941,0.8235294117647058,1.8235294117647058,,,0.476,0.476,0.476,,0.686
Dick Dickey,1952,2.8222222222222224,1.1111111111111112,1.8,,,0.294,0.294,0.294,,0.681
Jake Fendley,1952,3.1551724137931036,1.0,1.3793103448275863,,,0.318,0.318,0.318,,0.789
Jerry Fowler,1952,1.5,0.3333333333333333,1.6666666666666667,,,0.308,0.308,0.308,,0.25
Lew Hitch,1952,3.557377049180328,0.819672131147541,3.9836065573770494,,,0.358,0.358,0.358,,0.67
Mel Hutchins,1952,9.196969696969697,2.878787878787879,13.333333333333334,,,0.365,0.365,0.365,,0.644
Neil Johnston*,1952,5.96875,0.609375,5.34375,,,0.472,0.472,0.472,,0.662
Jack Kiley,1952,2.5106382978723403,1.3191489361702127,1.0425531914893618,,,0.228,0.228,0.228,,0.556
George King,1952,9.969696969696969,3.696969696969697,4.151515151515151,,,0.406,0.406,0.406,,0.712
John McConathy,1952,1.2727272727272727,0.7272727272727273,1.8181818181818181,,,0.138,0.138,0.138,,0.429
